"","ObjectID","Loc_name","Status","Score","Match_type","Match_addr","LongLabel","ShortLabel","Addr_type","Type","PlaceName","Place_addr","Phone","URL","Rank","AddBldg","AddNum","AddNumFrom","AddNumTo","AddRange","Side","StPreDir","StPreType","StName","StType","StDir","BldgType","BldgName","LevelType","LevelName","UnitType","UnitName","SubAddr","StAddr","Block","Sector","Nbrhd","District","City","MetroArea","Subregion","Region","RegionAbbr","Territory","Zone","Postal","PostalExt","Country","CntryName","LangCode","Distance","X","Y","DisplayX","DisplayY","Xmin","Xmax","Ymin","Ymax","ExInfo","IN_Address","IN_Address2","IN_Address3","IN_Neighborhood","IN_City","IN_Subregion","IN_Region","IN_Postal","IN_PostalExt","IN_CountryCode","USER_Region","USER_State","USER_Borrower_Name","USER_State_Tracking_Number","USER_Type_of_Assistance","USER_Supplemental_Appropriation","USER_Latest_Agreement_Action","USER_Initial_Agreement_Date","USER_Initial_Agreement_Amount","USER_Date_of_Latest_Agreement_Action","USER_Current_Agreement_Amount","USER_Annual_Interest_Rate____","USER_Annual_Fee_Rate____","USER_Annual_Finance_Charge____","USER_Upfront_Fees","USER_Repayment_Period__Years_","USER_Includes_Additional_Subsidy_","USER_Additional_Subsidy_Amount","USER_Green_Project_Reserve__GPR__Total","USER_Hardship_Disadvantaged_Community_","USER_Programmatic_Finance_","USER_Sponsorship_Lending_","USER_Sponsorship_Lending__Implementing_Partner","USER_Conduit_Finance_","USER_Subagreements_To_Date","USER_Total_Non_SRF_Co_funding","USER_Non_SRF_Co_funding___Federal","USER_Non_SRF_Co_funding___State","USER_Non_SRF_Co_funding___Local","USER_Project_Name","USER_Project_Description","USER_Project_Needs_Categories","USER_Facility_Name","USER_NPDES_Permit_Number","USER_Population_Served_by_Project","USER_Project_Start","USER_Project_Completion_Date","USER_Affected_Waterbody_Designation","USER_CWA_Compliance_Objective","USER_Designated_Water_Use___Protect","USER_Designated_Water_Use___Restore","USER_Improvement_or_Maintenance_of_Receiving_Waterbody_","USER_Linked_Assistance_Agreement_","USER_Linked_Assistance_Agreement___State_Tracking_Number","geometry"
"1",1,"World","M",96.1,"M","Town of Fairmont, North Carolina","Town of Fairmont, NC, USA","Town of Fairmont","Locality","City","Town of Fairmont","Town of Fairmont, North Carolina"," "," ",19," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," "," ","Town of Fairmont"," ","Robeson County","North Carolina","NC"," "," "," "," ","USA","United States","ENG",0,-79.11353,34.49456,-79.11353,34.49456,-79.13753,-79.08953,34.47056,34.51856," ","Fairmont, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Fairmont, Town of","CS370618-03","Loan","Not Applicable","Initial Agreement",2023-06-12,230333,2023-06-12,230333,0,0,0,0,20,"Yes",230333,0,"Yes","No","No",NA,"No",0,14769667,0,14769667,0,"Fairmont Collection System Rehabilitation","Replace 30,350 lf gravity sewer and manholes, rehab force main to WWTP.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $230,333.00",NA,NA,2176,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1965791.26550265, 271003.178482328)
"2",2,"World","M",95.61,"A","Town of Benson, North Carolina","Town of Benson, NC, USA","Town of Benson","Locality","City","Town of Benson","Town of Benson, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","Town of Benson","","Johnston County","North Carolina","NC","","","","","USA","United States","ENG",0,-78.54348,35.38597,-78.54348,35.38597,-78.58748,-78.49948,35.34197,35.42997,"","Benson, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Benson, Town of","CS370584-05","Loan","Not Applicable","Initial Agreement",2023-06-09,3533000,2023-06-09,3533000,0.1,0,0.1,0,20,"No",0,0,"No","No","No",NA,"No",0,0,0,0,0,"2020 Wastewater System Improvements","Replacement of 1,825 LF of 8-inch, 825 LF of 10-inch, 375 LF of 10-inch with 15-inch, 500 LF of 12-inch with 15-inch; rehabilitation of WWTP to include replacement of headworks (mechanical bar screen and grit removal system located in the 100-year floodplain), three screw lift pumps, and oxidation ditch aerators","Centralized Wastewater Treatment - Secondary Treatment: $3,533,000.00","BENSON WWTP","NC0020389",4103,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(2136065.73784515, 595713.198107529)
"3",3,"World","M",96.48,"A","Town of Whitakers, North Carolina","Town of Whitakers, NC, USA","Town of Whitakers","Locality","City","Town of Whitakers","Town of Whitakers, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","Town of Whitakers","","Nash County","North Carolina","NC","","","","","USA","United States","ENG",0,-77.71309,36.10575,-77.71309,36.10575,-77.72209,-77.70409,36.09675,36.11475,"","Whitakers, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Whitakers, Town of","CS370579-03","Loan","Not Applicable","Initial Agreement",2023-06-29,500000,2023-06-29,500000,0,0,0,0,0,"Yes",500000,0,"Yes","No","No",NA,"No",0,1250000,0,1250000,0,"Porter Street Pump Station Relocation","Abandonment of Porter Street Pump Station to include installation of approximately 560 linear feet of 8-inch gravity sewer and five (5) manholes.
Relocation and installation (outside of the 100-year flood elevation) of a new 100 gpm duplex submersible (known as Bell Street Pump Station), and 1,200 LF of 4-inch FM; and 1,147 linear of 8-inch gravity sewer and six (6) manholes.","Centralized Wastewater Treatment - New Interceptors: $500,000.00",NA,NA,625,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(2380157.67486374, 859858.720345009)
"4",4,"World","M",97.04,"A","Hertford Township, North Carolina","Hertford Township, NC, USA","Hertford Township","Locality","City","Hertford Township","Township of Hertford, North Carolina","","",21,"","","","","","","","","","","","","","","","","","","","","","","","Township of Hertford","","Perquimans County","North Carolina","NC","","","","","USA","United States","ENG",0,-76.53103,36.17395,-76.53103,36.17395,-76.60203,-76.46003,36.10295,36.24495,"OF","Hertford, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Hertford, Town of","CS370526-05","Loan","Not Applicable","Initial Agreement",2023-06-09,73290,2023-06-09,73290,0,0,0,0,0,"Yes",73290,0,"Yes","No","No",NA,"No",0,3673200,0,3673200,0,"Collection-System Improvements","Replace pump station, rehab 8,200 lf gravity sewer.  Electrical upgrades at WWTP.","Centralized Wastewater Treatment - Sewer System Rehabilitation: $73,290.00",NA,NA,1925,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(2728670.09924126, 891284.272629574)
"5",5,"World","M",95.61,"A","City of Oxford, North Carolina","City of Oxford, NC, USA","City of Oxford","Locality","City","City of Oxford","City of Oxford, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Oxford","","Granville County","North Carolina","NC","","","","","USA","United States","ENG",0,-78.58499,36.31537,-78.58499,36.31537,-78.61999,-78.54999,36.28037,36.35037,"","Oxford, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Oxford, City of","CS370439-09","Loan","Not Applicable","Initial Agreement",2023-06-07,10830674,2023-06-07,10830674,0,0,0,0,20,"Yes",500000,0,"Yes","No","No",NA,"No",0,0,0,0,0,"Wastewater Treatment Plant Rehabilitation","Wastewater Treatment Plant Rehabilitation","Centralized Wastewater Treatment - Advanced Treatment: $10,830,674.00","OXFORD WWTP","NC0025054",8775,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(2122279.43386107, 933963.491009834)
"6",6,"World","M",95.71,"A","City of Sanford, North Carolina","City of Sanford, NC, USA","City of Sanford","Locality","City","City of Sanford","City of Sanford, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Sanford","","Lee County","North Carolina","NC","","","","","USA","United States","ENG",0,-79.17747,35.48218,-79.17747,35.48218,-79.26347,-79.09147,35.39618,35.56818,"","Sanford, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Sanford, City of","CS370432-06","Loan","Not Applicable","Initial Agreement",2023-06-07,3845000,2023-06-07,3845000,0.1,0,0.1,0,20,"Yes",500000,0,"Yes","No","No",NA,"No",0,0,0,0,0,"Little Buffalo Creek Rehabilitation","Replacement of 5,400 LF of 12-inch with 18-inch gravity sewer","Centralized Wastewater Treatment - Sewer System Rehabilitation: $3,845,000.00",NA,NA,31057,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1947167.52761501, 630464.069341918)
"7",7,"World","M",95.39,"A","City of Eden, North Carolina","City of Eden, NC, USA","City of Eden","Locality","City","City of Eden","City of Eden, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Eden","","Rockingham County","North Carolina","NC","","","","","USA","United States","ENG",0,-79.74254,36.50247,-79.74254,36.50247,-79.78954,-79.69554,36.45547,36.54947,"","Eden, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Eden, City of","CS370458-08","Loan","ASADRA","Initial Agreement",2023-06-02,15172225,2023-06-02,15172225,0.1,0,0.1,0,20,"Yes",500000,0,"Yes","No","No",NA,"No",0,0,0,0,0,"Rehabilitation of Junction PS ; rehabilitation & replacementof Smith River outfall","Rehabilitation of Junction PS ; rehabilitation & replacementof Smith River outfall","Centralized Wastewater Treatment - Sewer System Rehabilitation: $15,172,225.00",NA,NA,15319,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1781727.37238749, 1002645.65379246)
"8",8,"World","M",97.24,"A","Wilkesboro Township, North Carolina","Wilkesboro Township, NC, USA","Wilkesboro Township","Locality","City","Wilkesboro Township","Township of Wilkesboro, North Carolina","","",21,"","","","","","","","","","","","","","","","","","","","","","","","Township of Wilkesboro","","Wilkes County","North Carolina","NC","","","","","USA","United States","ENG",0,-81.11917,36.13963,-81.11917,36.13963,-81.18617,-81.05217,36.07263,36.20663,"OF","Wilkesboro, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Wilkesboro, Town of","CS370829-02","Loan","Not Applicable","Initial Agreement",2023-03-04,42000000,2023-03-04,42000000,0,0,0,0,20,"Yes",1000000,42000000,"Yes","No","No",NA,"No",0,18000000,0,18000000,0,"Wilkesboro Cub Creek WWTP Expansion","WWTP expansion from 4.9 to 9 MGD.","Centralized Wastewater Treatment - Advanced Treatment: $42,000,000.00","CUB CREEK WWTP","NC0021717",3554,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1374283.12293529, 876407.270844911)
"9",9,"World","M",98.01,"A","Town of Pollocksville, North Carolina","Town of Pollocksville, NC, USA","Town of Pollocksville","Locality","City","Town of Pollocksville","Town of Pollocksville, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","Town of Pollocksville","","Jones County","North Carolina","NC","","","","","USA","United States","ENG",0,-77.22111,35.00559,-77.22111,35.00559,-77.22811,-77.21411,34.99859,35.01259,"","Pollocksville, Town of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Pollocksville, Town of","CS370664-02","Loan","ASADRA","Amendment",2022-12-06,3000000,2024-02-28,7410000,0,0,0,0,0,"Yes",3000000,0,"Yes","No","No",NA,"No",0,0,0,0,0,"2020 WWTP Facilities Relocation","WWRP Facilities Relocation","Centralized Wastewater Treatment - Advanced Treatment: $7,410,000.00",NA,NA,269,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(2532652.08395027, 461736.002835762)
"10",10,"World","M",96.86,"A","City of Laurinburg, North Carolina","City of Laurinburg, NC, USA","City of Laurinburg","Locality","City","City of Laurinburg","City of Laurinburg, North Carolina","","",19,"","","","","","","","","","","","","","","","","","","","","","","","City of Laurinburg","","Scotland County","North Carolina","NC","","","","","USA","United States","ENG",0,-79.47812,34.75963,-79.47812,34.75963,-79.52912,-79.42712,34.70863,34.81063,"","Laurinburg, City of",NA,NA,NA,NA,NA,"North Carolina",NA,NA,NA,"Region 4","North Carolina","Laurinburg, City of","CS370924-02","Loan","Not Applicable","Initial Agreement",2022-10-28,8951000,2022-10-28,8951000,0.13,0,0.13,0,20,"Yes",500000,0,"No","No","No",NA,"No",0,0,0,0,0,"Bridge Creek & College Park Sewer","Rehabilitate 183,800 LF of gravity sewer, to include cleaning, CCTV inspection, smoke testing, manhole repairs, and bypass pumping","Centralized Wastewater Treatment - Sewer System Rehabilitation: $8,951,000.00",NA,NA,15962,NA,NA,"Not Applicable","Maintain Compliance",NA,NA,"Improvement","No",NA,c(1856398.55170033, 367796.523571004)
