"REGISTRY_ID","PGM_SYS_ACRNM","PGM_SYS_ID","INTEREST_TYPE","NAICS_CODE","PRIMARY_INDICATOR","CODE_DESCRIPTION"
"110000351798","AIRS/AFS","4506100006","AIR MAJOR","332431","PRIMARY","METAL CAN MANUFACTURING."
"110000351798","AIR","SC00015400006","AIR MAJOR","332431","PRIMARY","METAL CAN MANUFACTURING."
"110000351798","TRIS","29010MRCNN609CO","TRI REPORTER","332431","PRIMARY","METAL CAN MANUFACTURING."
"110000351798","EIS","4041011","HAZARDOUS AND CRITERIA AIR POLLUTANT MAJOR","332431","PRIMARY","METAL CAN MANUFACTURING."
"110000351798","RCRAINFO","SCD030110217","VSQG","332431","PRIMARY","METAL CAN MANUFACTURING."
"110000351814","RCRAINFO","SCR000002170","OTHER HAZARDOUS WASTE ACTIVITIES","334310","PRIMARY","AUDIO AND VIDEO EQUIPMENT MANUFACTURING."
"110000351814","TRIS","29016BSCRP2000C","TRI REPORTER","334310","PRIMARY","AUDIO AND VIDEO EQUIPMENT MANUFACTURING."
"110000351814","AIRS/AFS","4507900134","AIR MINOR","334310","PRIMARY","AUDIO AND VIDEO EQUIPMENT MANUFACTURING."
"110000351841","TRIS","29020WHTNGPOBOX","TRI REPORTER","331210","PRIMARY","IRON AND STEEL PIPE AND TUBE MANUFACTURING FROM PURCHASED STEEL."
"110000351869","TRIS","29032NWSTH1281S","TRI REPORTER","321114","UNKNOWN","WOOD PRESERVATION."
"110000351869","SC-EFIS","SC0000001353","STATE MASTER","321113","UNKNOWN","SAWMILLS."
"110000351869","AIR","SC00013800025","AIR MAJOR","321113","PRIMARY","SAWMILLS."
"110000351869","CEDRI","CEDRI123707","RISK AND TECHNOLOGY REVIEW","321113","PRIMARY","SAWMILLS."
"110000351869","AIRS/AFS","4505500025","AIR MAJOR","321113","PRIMARY","SAWMILLS."
"110000351869","CEDRI","CEDRI123707","COMPLIANCE AND EMISSIONS REPORTING","321113","PRIMARY","SAWMILLS."
"110000351869","AIRS/AFS","4505500059","AIR MINOR","321114","PRIMARY","WOOD PRESERVATION."
"110000351869","RCRAINFO","SCD982117426","VSQG","321114","SECONDARY","WOOD PRESERVATION."
"110000351869","TRIS","29032NWSTH1281S","TRI REPORTER","321113","PRIMARY","SAWMILLS."
"110000351869","RCRAINFO","SCD982117426","VSQG","321113","PRIMARY","SAWMILLS."
"110000351869","EIS","6517811","HAZARDOUS AND CRITERIA AIR POLLUTANT MAJOR","321113","PRIMARY","SAWMILLS."
"110000351878","TRIS","29033SMJST850TA","TRI REPORTER","332312","PRIMARY","FABRICATED STRUCTURAL METAL MANUFACTURING."
"110000351878","AIR","SC00015600176","AIR MAJOR","332999","PRIMARY","ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING."
"110000351878","EIS","15656111","CRITERIA AIR POLLUTANT MAJOR","332999","PRIMARY","ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING."
"110000351878","EIS","3793411","HAZARDOUS AIR POLLUTANT MAJOR","332312","PRIMARY","FABRICATED STRUCTURAL METAL MANUFACTURING."
"110000351878","AIRS/AFS","4506300176","AIR MAJOR","332999","PRIMARY","ALL OTHER MISCELLANEOUS FABRICATED METAL PRODUCT MANUFACTURING."
"110000351878","RCRAINFO","SCD003339298","UNSPECIFIED UNIVERSE","332312","PRIMARY","FABRICATED STRUCTURAL METAL MANUFACTURING."
"110000351878","AIRS/AFS","4506300116","AIR MAJOR","332312","PRIMARY","FABRICATED STRUCTURAL METAL MANUFACTURING."
"110000351887","SC-EFIS","SC0000094383","STATE MASTER","331111","UNKNOWN","IRON AND STEEL MILLS."
"110000351887","EIS","4947911","AIR MINOR","332312","PRIMARY","FABRICATED STRUCTURAL METAL MANUFACTURING."
"110000351887","AIRS/AFS","4506300087","AIR MAJOR","331111","PRIMARY","IRON AND STEEL MILLS."
"110000351887","AIR","SC00015600087","AIR MAJOR","331111","PRIMARY","IRON AND STEEL MILLS."
