"PGM_SYS_ACRNM","PGM_SYS_ID","LATITUDE83","LONGITUDE83","CONVEYOR","COLLECT_DESC","ACCURACY_VALUE","REF_POINT_DESC","HDATUM_DESC","SOURCE_DESC","STATE_CODE"
"ACRES","111096","34.201246","-79.767679","ACRES","","","","","","SC"
"ACRES","128522","34.056551","-81.048069","ACRES","","","","","","SC"
"ACRES","223641","34.850721","-82.409516","ACRES","","","","","","SC"
"ACRES","243249","33.56262","-81.71913","ACRES","","","","","","SC"
"ACRES","67361","33.982717","-80.957611","ACRES","INTERPOLATION-SATELLITE","","CENTER OF A FACILITY OR STATION","WGS84","","SC"
"ACRES","125985","34.642385","-82.454823","ACRES","ADDRESS MATCHING-NEAREST INTERSECTION","","ACRES POINTS NOT REPRESENTED BY 101-107","NAD83","","SC"
"ACRES","73021","34.928474","-81.028359","ACRES","GPS - UNSPECIFIED","","CENTER OF A FACILITY OR STATION","WGS84","","SC"
"ACRES","122903","34.05965","-80.951928","ACRES","","","","","","SC"
"ACRES","235311","34.861369","-82.407965","ACRES","","","","","","SC"
"ACRES","14777","34.84802","-82.400219","ACRES","","","","","","SC"
"ACRES","177223","32.822135","-79.936714","ACRES","INTERPOLATION-MAP","","CENTER OF A FACILITY OR STATION","NAD83","","SC"
"ACRES","175212","34.934727","-81.034631","ACRES","INTERPOLATION-SATELLITE","","ENTRANCE POINT OF A FACILITY OR STATION","WGS84","","SC"
"ACRES","158444","32.838725","-79.961562","ACRES","ADDRESS MATCHING-HOUSE NUMBER","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"ACRES","235298","34.684927","-79.882685","ACRES","","","","","","SC"
"ACRES","149965","33.664613","-79.828848","ACRES","ADDRESS MATCHING-HOUSE NUMBER","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"ACRES","15125","34.928611","-81.02722","ACRES","","","","","","SC"
"ACRES","11707","34.5909","-81.464981","ACRES","","","","","","SC"
"ACRES","94443","34.500699","-82.62983","ACRES","ADDRESS MATCHING-HOUSE NUMBER","","ENTRANCE POINT OF A FACILITY OR STATION","WGS84","","SC"
"ACRES","12471","33.624981","-80.947441","ACRES","","","","","","SC"
"ACRES","110087","34.961948","-81.92485","ACRES","ADDRESS MATCHING-OTHER","","CENTER OF A FACILITY OR STATION","NAD83","","SC"
"ACRES","111151","33.999025","-81.030728","ACRES","ADDRESS MATCHING-HOUSE NUMBER","","ENTRANCE POINT OF A FACILITY OR STATION","NAD83","","SC"
"ACRES","239343","34.854229","-82.411632","ACRES","","","","","","SC"
