"REGISTRY_ID","PGM_SYS_ACRNM","PGM_SYS_ID","INTEREST_TYPE","SIC_CODE","PRIMARY_INDICATOR","CODE_DESCRIPTION"
"110000351798","AIRS/AFS","4506100006","AIR MAJOR","3411","PRIMARY","METAL CANS"
"110000351805","NPDES","SCR000763","STORM WATER INDUSTRIAL","2086","PRIMARY","BOTTLED AND CANNED SOFT DRINKS AND CARBONATED WATERS"
"110000351805","NPDES","SCR000763","ICIS-NPDES NON-MAJOR","2086","PRIMARY","BOTTLED AND CANNED SOFT DRINKS AND CARBONATED WATERS"
"110000351805","TRIS","29010STHTL601CO","TRI REPORTER","2086","PRIMARY","BOTTLED AND CANNED SOFT DRINKS AND CARBONATED WATERS"
"110000351805","SC-EFIS","SC0000001681","STATE MASTER","2086","UNKNOWN","BOTTLED AND CANNED SOFT DRINKS AND CARBONATED WATERS"
"110000351814","AIRS/AFS","4507900134","AIR MINOR","3651","PRIMARY","HOUSEHOLD AUDIO AND VIDEO EQUIPMENT"
"110000351841","TRIS","29020WHTNGPOBOX","TRI REPORTER","3443","PRIMARY","FABRICATED PLATE WORK (BOILER SHOPS)"
"110000351869","AIRS/AFS","4505500059","AIR MINOR","2491","PRIMARY","WOOD PRESERVING"
"110000351869","SC-EFIS","SC0000001353","STATE MASTER","2421","UNKNOWN","SAWMILLS AND PLANING MILLS, GENERAL"
"110000351869","AIRS/AFS","4505500025","AIR MAJOR","2491","SECONDARY","WOOD PRESERVING"
"110000351869","AIRS/AFS","4505500025","AIR MAJOR","2421","PRIMARY","SAWMILLS AND PLANING MILLS, GENERAL"
"110000351869","NPDES","SC0047384","ICIS-NPDES NON-MAJOR","2421","PRIMARY","SAWMILLS AND PLANING MILLS, GENERAL"
"110000351878","AIRS/AFS","4506300116","AIR MAJOR","3441","PRIMARY","FABRICATED STRUCTURAL METAL"
"110000351878","SC-EFIS","SC0000028493","STATE MASTER","3313","UNKNOWN","ELECTROMETALLURGICAL PRODUCTS, EXCEPT STEEL"
"110000351878","SC-EFIS","SC0000028493","STATE MASTER","3441","UNKNOWN","FABRICATED STRUCTURAL METAL"
"110000351878","AIRS/AFS","4506300176","AIR MAJOR","3499","PRIMARY","FABRICATED METAL PRODUCTS, NOT ELSEWHERE CLASSIFIED"
"110000351887","SC-EFIS","SC0000001670","STATE MASTER","3441","UNKNOWN","FABRICATED STRUCTURAL METAL"
"110000351887","AIRS/AFS","4506300087","AIR MAJOR","3312","PRIMARY","STEEL WORKS, BLAST FURNACES (INCLUDING COKE OVENS), AND ROLLING MILLS"
"110000351887","SC-EFIS","SC0000095968","STATE MASTER","3441","UNKNOWN","FABRICATED STRUCTURAL METAL"
"110000351887","SC-EFIS","SC0000094383","STATE MASTER","3313","UNKNOWN","ELECTROMETALLURGICAL PRODUCTS, EXCEPT STEEL"
"110000351887","ICIS","8028260","FORMAL ENFORCEMENT ACTION","3312","SECONDARY","STEEL WORKS, BLAST FURNACES (INCLUDING COKE OVENS), AND ROLLING MILLS"
"110000351887","OSHA-OIS","342289071","OSHA ESTABLISHMENT","3312","PRIMARY","STEEL WORKS, BLAST FURNACES (INCLUDING COKE OVENS), AND ROLLING MILLS"
"110000351887","AIRS/AFS","4506300087","AIR MAJOR","3313","SECONDARY","ELECTROMETALLURGICAL PRODUCTS, EXCEPT STEEL"
"110000351887","RBLC","23275","AIR MAJOR","3312","UNKNOWN","STEEL WORKS, BLAST FURNACES (INCLUDING COKE OVENS), AND ROLLING MILLS"
"110000351887","SC-EFIS","SC0000094383","STATE MASTER","3312","UNKNOWN","STEEL WORKS, BLAST FURNACES (INCLUDING COKE OVENS), AND ROLLING MILLS"
"110000351887","NPDES","SCR002429","STORM WATER INDUSTRIAL","3312","PRIMARY","STEEL WORKS, BLAST FURNACES (INCLUDING COKE OVENS), AND ROLLING MILLS"
"110000351887","SC-EFIS","SC0000001670","STATE MASTER","3313","UNKNOWN","ELECTROMETALLURGICAL PRODUCTS, EXCEPT STEEL"
"110000351887","SC-EFIS","SC0000003923","STATE MASTER","3295","UNKNOWN","MINERALS AND EARTHS, GROUND OR OTHERWISE TREATED"
"110000351887","TRIS","29171SPRYF31NEW","TRI REPORTER","3479","PRIMARY","COATING, ENGRAVING, AND ALLIED SERVICES, NOT ELSEWHERE CLASSIFIED"
"110000351887","SC-EFIS","SC0000094383","STATE MASTER","3441","UNKNOWN","FABRICATED STRUCTURAL METAL"
"110000351887","AIRS/AFS","4506300148","AIR MINOR","3441","PRIMARY","FABRICATED STRUCTURAL METAL"
