id,fund,fy,state,county,latitude,longitude,sponsor,project,dhec_proj_num,proj_desc,total_proj_cost_est,note
26,DWSRF,2015,South Carolina,York,35.11072093,-81.22657785,Clover,Water Tanks Rehabilitation,4610006-01,Rehabilitation of the town's two elevated water storage tanks in order to maintain compliance with DHEC regulations.,151200,
57,DWSRF,2017,South Carolina,York,34.9628993,-80.99951734,Rock Hill,Rock Hill Water Treatment Plant and Lake Wylie Raw Water Intake Upgrade - DPB Reduction,4610002-07,"proj num 4610002-07: Add intank aeration at two water storage tanks, install a 24"" water line on Mt. Gallant Road and add chlorine dioxide chemical feed facilities at Lake Wylie to address the formation of disinfection by-products. proj num 4610002-08: Multiple improvements at the Rock Hill WTP to maintain compliance with drinking water standards to include: repair/replacement of clearwell baffle, sedimentation basin covers, and settled water turbidity meters. proj num 4610002-09: Upgrade aging infrastructure to include: instrumentation upgrades, SCADA improvements, increase emergency power at Lake Wylie intake, rehabilitate sedimentation basins, improve energy efficiency for existing pumps, and address residual solids management.",42000000,
73,DWSRF,2018,South Carolina,York,34.9628993,-80.99951734,Rock Hill,Rock Hill Water Treatment Plant and Lake Wylie Raw Water Intake Upgrade - DBP Reduction,4610002-07,"Add intank aeration at two water storage tanks, install a 24"" water line on Mt. Gallant Road to address the formation of disinfection by-products.",4834643,Continuing
120,DWSRF,2022,South Carolina,York,34.9628993,-80.99951734,Rock Hill,Rock Hill Water Plant Alum Sludge Dewatering Facility,4610002-11,Construction of alum sludge dewatering facilities to allow the sludge to be dewatered at the WTP and then disposed of offsite. Also construction of a chemical feed facility.,10000000,
133,DWSRF,2022,South Carolina,York,34.9628993,-80.99951734,Rock Hill,Mt. Gallant Road Water Tank,4610002-10,"Construction of a new 1.0 MG elevated water tank. The tank will be connected to the 24"" water line that was recently installed along Mt. Gallant Road.",5600000,
168,DWSRF,2024,South Carolina,York,34.9628993,-80.99951734,Rock Hill,Rock Hill Water Plant Alum Sludge Dewatering Facility3,4610002-11,Construction of alum sludge dewatering facilities to allow the sludge to be dewatered at the WTP and then disposed of offsite. Also construction of a chemical feed facility.,20837527,Base Capitalization
64,DWSRF,2017,South Carolina,Union,34.5926005,-81.46260632,Carlisle,Carlisle Water System Improvements Phase 1,4410003-01,Recoating of interior of the water storage tank and installing an improved electronic control system.,38000,
36,DWSRF,2015,South Carolina,Union,34.78714358,-81.46352507,Lockhart,SC HWY 9 - Waterline Relocations,4420010-01,"Waterline relocation and replacement due to SCDOT bridge replacement/relocation. Various 8"" and 6"" water lines to be installed in the ground and along the bridge.",155000,
156,DWSRF,2023,South Carolina,Union,34.79072514,-81.46359497,Lockhart,Summit Drive Waterline Upgrade,4420010-02,"Upgrade of the waterline on Summit Drive from the water tank south to the connection with Lockhart Drive. Project includes 4,874 LF of 6"", 4"" & 2"" water lines; 50 valves; 11 fire hydrants; 12 service reconnections; and pavement replacement",1446615,General Supplemental
1,DWSRF,2014,South Carolina,Union,34.7092266,-81.84574624,Meansville-Riley Water Company,Woodruff-Roebuck Connections,SRF-4420001-01,"Installation of ~20,000 LF of water line, 2 master meters, back flow prevention, SCADA monitoring and all appurtenances to connect the MRWS to Woodruff- Roebuck Water System. MRWS is currently under enforcement for excess Total Trihalomethanes.",836000,
