id,Fund,Fiscal_Year,State,County,latitude,longitude,Sponsor,Project,DHEC Project Number,Project Description,SC Water System ID Number,Total Project Cost Estimate,Estimated SRF Loan Amount,Estimated Principal Forgiveness Assistance 1,Estimated Green Project Reserve Amount 2,Sponsor's Service Population,Population Affected by Project,Total Points,Note
1,DWSRF,2014,South Carolina,Union ,34.7092266,-81.84574624,Meansville-Riley Water Company,Woodruff-Roebuck Connections,SRF-4420001-01,"Installation of ~20,000 LF of water line, 2 master meters, back flow prevention, SCADA monitoring and all appurtenances to connect the MRWS to Woodruff- Roebuck Water System. MRWS is currently under enforcement for excess Total Trihalomethanes.",,"$836,000",836000,800000,,,2340,135,
2,DWSRF,2014,South Carolina,Edgefield,33.51336281,-81.96121005,North Augusta,Raw Water Tank,SRF-0210003-01,Construct a pre-stressed 30 million gallon concrete raw water storage tank and raw water transfer pump station to help the system meet Stage 2 Disinfection Byproducts rule.,,"$12,000,000",12000000,,,,26273,80,
3,DWSRF,2014,South Carolina,Newberry ,34.19072734,-81.71989897,Newberry,Finished Water Storage Additions to Water Plant and Distribution System,SRF-3610001-01,"Install new concrete clearwell, upgrade high service pumping facility and add to the residuals handling facility along with new carbon feed equipment and replacing rapid and post mixers, filters 1-4 and sedimentation basin 1& 2 valves and liquid lime feed facility at the WTP. Also, construct a new elevated storage tank.",,"$7,000,000",7000000,,,,10288,10,
4,DWSRF,2014,South Carolina,Abbeville ,34.09202812,-82.59570885,Calhoun Falls,Water Extension to Country Lane Area,SRF-0110002-04,Installation of waterlines to serve a community currently under an indefinite boil water notice for contamination of a well with E. coli. Project will allow Calhoun Falls to takeover the non-viable system.,,"$400,000",400000,400000,,,60,150,
5,DWSRF,2014,South Carolina,Florence,34.18366437,-79.77392906,Florence,Timmonsville Water System Improvements,SRF-2110005-01,"Improvements to the Timmonsville water distribution system to include the addition of  2 booster pump stations, upgrades for 3 elevated storage tanks and replacement of 1000 meters with AMR meters to address pressure problems and system operation.",,"$3,528,750",3528750,1000000,,,2221,105,
6,DWSRF,2014,South Carolina,Colleton ,32.49013866,-80.32570817,Edisto Beach,Reverse Osmosis Project,SRF-1510006-03,"Installation of a Reverse Osmosis Treatment Plant to produce 1.2 MGD of treated water to address high concentrations of fluoride, chloride and sodium that exceed National Secondary Drinking Water Standards. Also install a new supply well and possibly an ASR well for storage.",,"$8,462,250",8462250,,,,5856,95,
7,DWSRF,2014,South Carolina,Lancaster ,34.58414925,-80.67145187,Heath Springs,Elevated Water Tank Restoration,SRF-2910002-01,"Restoration of College Street water tank to include cleaning and coating of interior, preparation and painting of exterior and repair holes on tank riser, water level indicator and control probes.",,"$100,000",100000,100000,,,850,95,
8,DWSRF,2014,South Carolina,Florence ,33.99586095,-79.56616443,Pamplico,Shirley Road Water Line,SRF-2110010-04,"Installation of ~10,200 LF of 6"" water line to extend water lines to 18 residences with wells located in an area with a high water table and septic tanks with a high potential of failure.",,"$193,371",193371,193371,,,45,90,
9,DWSRF,2014,South Carolina,Aiken ,33.32756088,-81.78984938,Jackson,Town of Jackson 2012 Water System Improvements,0210002-05,"Install  ~16,265 LF of 10"" PVC water main, 2,445 LF of 8"" water main,  835 LF of 6"" PVC water main and all necessary appertenances to result in better water pressure in the affected area.",,"$984,996",984996,,,,679,90,
10,DWSRF,2014,South Carolina,Abbeville,34.39552923,-82.24544917,Ware Shoals,Smith Street Water Improvements,SRF-2410003-04,Replace ~2950 LF of old 2 & 4-inch galvanized and asbestos waterlines with new 6-inch PVC pipe.,,"$308,850",308850,,,,50,85,
11,DWSRF,2014,South Carolina,Edgefield,33.51336281,-81.96121005,North Augusta,Water Treatment Plant Replacement,SRF-0210003-02,Replace aging portions of the existing water treatment plant to enhance regulatory compliance with Stage2 disinfection By-Products Rule.,,"$8,000,000",8000000,,,,26273,80,
12,DWSRF,2014,South Carolina,Beaufort ,32.20263775,-80.73400883,Hilton Head Public Service District,Water System Upgrade,SRF-0720006-04,"1 million gallon per day expansin of an exisiting Reverse Osmosis treatment plant to 4.0 mgd and the upgrade of three supply wells. Also an interconnect of the PSD's 24"" water main from the mainland and construction of a booster pump station.",,"$3,250,000",3250000,,,,16000,80,
13,DWSRF,2014,South Carolina,Berkeley ,32.99986854,-80.04539978,Goose Creek,Water System Improvments,SRF-0810004-01,Construct a 1.0 MG elevated storage tank and install transmission main and distribution piping to bring the water storage system up to DHEC minimum standards and to address water quality issues.,,"$7,900,000",6000000,,,,38000,80,
14,DWSRF,2014,South Carolina,Lexington ,33.96438651,-81.0630169,Cayce,Highway 321 Waterline Replacement,SRF-3210003-01,"Installation of ~5,500 LF of 30"" DIP water main and
~3,500 LF of 24"" DIP water main with hydrants, valves and necessary appurtenances.",,"$3,300,000",3300000,,,,17000,80,
15,DWSRF,2014,South Carolina,Orangeburg ,33.49826858,-80.85813944,Orangeburg,Rehabilitation and Upgrade of Clearwell #2),SRF-3810001-02,"Improvements to clearwell #2 to include replace concrete roof with aluminum roof, electrical and instrumentation system improvements, safety improvements and miscellaneous site work.",,"$2,500,000",2500000,,,,60000,40,
16,DWSRF,2014,South Carolina,Anderson ,34.68372751,-82.80474396,Clemson,Substandard Line Replacement,SRF-3910004-03,"Replace ~36290 linear feet of waterlines ranging in size from 1.5"" to 10"" that have a historical failure rate with DIP and some PVC in the smaller line sizes.",,"$1,600,000",1600000,,,,14410,20,
17,DWSRF,2014,South Carolina,Beaufort ,32.20263775,-80.73400883,Hilton Head Public Service District,Automatic Meter Reading / Advanced Metering Infrastructure,SRF-0720006-05,"Retrofit of ~12,000 water meters for automatic read and installation of tower base stations and automatic read/advance metering infrastructure software.",,"$2,250,000",2250000,,2250000,,16000,10,
18,DWSRF,2015,South Carolina,Berkeley ,32.99986854,-80.04539978,Goose Creek,Water System Improvments,0810004-01,Construct a 1.0 MG elevated storage tank and install transmission main and distribution piping to bring the water storage system up to DHEC minimum standards and to address water quality issues.,,"$7,900,000",6000000,,,,38000,80,
19,DWSRF,2015,South Carolina,Florence,34.18366437,-79.77392906,Florence,Timmonsville Water System Improvements,2110005-01,"Improvements to the Timmonsville water distribution system to address pressure problems and system operation - includes the addition of  2 booster pump stations, upgrades for 3 elevated storage tanks, installation of SCADA monitoring at multiple sites and
replacement of 1000 meters with AMR meters.",,"$3,528,750",1494220,,,,2221,105,
20,DWSRF,2015,South Carolina,Greenwood,34.12445103,-82.11739653,Greenwood CPW,Harless-Seymour (Franklin S/D) Water System Replacement,2410001-08,"Installation of ~3,300 LF of 12 inch water main, ~2,800 LF of 6 inch water main, fire hydrants and related appurtenances. The project will replace the Harless- Seymour Water System and allow Greenwood CPW to take over operations of the currently non-viable system.",,"$399,535",,351590,,,205,140,
21,DWSRF,2015,South Carolina,Sumter ,33.94845057,-80.38026551,Sumter,Rembert System Rembert-High Hills water system connection project,4310001-01,"Install ~15,000 LF of 6"" water line and all appurtenances to connect the Rembert water system, operated by City of Sumter, to the High Hills water system and allow for closure of the Rembert system wells, which have high levels of radium.",,"$403,100",,106100,,,315,110,
