"","NAMELSAD","STATEFP"
"7","Silver Creek township","37"
"18","Caldwell township","37"
"19","Hickory township","37"
"20","Newton township","37"
"21","Bandy's township","37"
"22","Jacobs Fork township","37"
"23","Mountain Creek township","37"
"24","Little River township","37"
"27","Globe township","37"
"28","Mulberry township","37"
"33","Ironton township","37"
"48","Higgins township","37"
"49","Marion township","37"
"50","Township 10, Lemley","37"
"98","Crowders Mountain township","37"
"99","Riverbend township","37"
"103","Broad River township","37"
"104","Black Mountain township","37"
"108","Hudson township","37"
"109","Lenoir township","37"
"110","Lower Creek township","37"
"111","Johns River township","37"
"112","North Catawba township","37"
"125","Catawba township","37"
"126","Clines township","37"
"190","Kings Creek township","37"
"191","Little River township","37"
"192","Lovelady township","37"
"193","Patterson township","37"
"210","Dallas township","37"
"211","South Point township","37"
"212","Cherryville township","37"
"213","Gastonia township","37"
"214","Howards Creek township","37"
"218","Township 1, Charlotte","37"
"219","Township 5, Providence","37"
"220","Township 9, Deweese","37"
"221","Township 13, Morning Star","37"
"222","Township 3, Steele Creek","37"
"223","Township 8, Mallard Creek","37"
"224","Township 12, Paw Creek","37"
"238","Township 14, Pineville","37"
"275","South Toe township","37"
"364","Boomer township","37"
"388","Golden Valley township","37"
"391","Catawba Springs township","37"
"392","Lincolnton township","37"
"393","North Brook township","37"
"409","Icard township","37"
"410","Linville township","37"
"411","Lower Fork township","37"
"412","Quaker Meadows township","37"
"416","Upper Creek township","37"
"418","North Cove township","37"
"432","Wilson Creek township","37"
"433","Yadkin Valley township","37"
"434","Township 2, Berryhill","37"
"435","Township 6, Clear Creek","37"
"436","Township 11, Long Creek","37"
"437","Township 15, Huntersville","37"
"452","Banner Elk township","37"
"453","Carey's Flat township","37"
"504","Shiloh township","37"
"583","Cleveland","37"
"617","Millers township","37"
"618","Sharpes township","37"
"619","Wittenburg township","37"
"629","Davidson township","37"
"630","Camp Creek township","37"
"666","Sandy Ridge township","37"
"669","Buford township","37"
"670","Jackson township","37"
"671","Vance township","37"
"673","Monroe township","37"
"677","Crooked Creek township","37"
"679","Brackett township","37"
"692","Nebo township","37"
"693","Dysartsville township","37"
"729","Moravian Falls township","37"
"778","Blowing Rock township","37"
"789","Watauga township","37"
"812","Old Fort township","37"
"883","Drexel township","37"
"884","Lovelady township","37"
"885","Smoky Creek township","37"
"886","Glenwood township","37"
"887","Montford Cove township","37"
"888","Grassy Creek township","37"
"896","Upper Fork township","37"
"922","Jonas Ridge township","37"
"923","Lower Creek township","37"
"924","Morganton township","37"
"963","Altamont township","37"
"975","Hughes township","37"
"976","Ingalls township","37"
"978","Sugar Loaf township","37"
"979","Ellendale township","37"
"980","Taylorsville township","37"
"990","Linville township","37"
"992","Montezuma township","37"
"994","Barringer township","37"
"996","Coddle Creek township","37"
"1007","Fallstown township","37"
"1009","Statesville township","37"
"1014","Newland No. 2 township","37"
"1015","Pineola township","37"
"1017","Pyatte township","37"
"1054","Heath Springs CCD","45"
"1055","Tradesville CCD","45"
"1067","Ashwood CCD","45"
"1102","Fort Jackson CCD","45"
"1121","Shaw AFB-Horatio CCD","45"
"1122","Sumter North CCD","45"
"1143","Eastover CCD","45"
"1152","Winnsboro South CCD","45"
"1174","Winnsboro North CCD","45"
"1175","Ridgeway CCD","45"
"1183","Camden CCD","45"
"1184","Mount Pisgah CCD","45"
"1185","Bethune CCD","45"
"1186","Boykin CCD","45"
"1187","Elgin CCD","45"
"1258","Clover CCD","45"
"1259","McConnells CCD","45"
"1260","Fort Mill CCD","45"
"1261","York CCD","45"
"1272","Blythewood CCD","45"
"1282","Horrell Hill CCD","45"
"1283","Pontiac CCD","45"
"1284","Lancaster CCD","45"
"1285","Kershaw CCD","45"
"1286","Van Wyck CCD","45"
"1287","Camden Northeast CCD","45"
"1288","Westville CCD","45"
"1289","Sumter Southwest CCD","45"
"1293","Rembert CCD","45"
"1298","Chester CCD","45"
"1299","Richburg CCD","45"
"1300","Great Falls CCD","45"
"1301","Fort Lawn CCD","45"
"1311","Rock Hill CCD","45"
